               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.043915,            0.011127,            0.011979,             0.45146,                   1,              0.6248,             0.20465,            0.040303,           0.0063125,            0.006109,           0.0033458,           0.0033458,            0.064446
                 130,             0.04658,            0.011343,            0.017843,             0.76294,                   1,             0.88754,             0.34173,            0.026623,           0.0063873,           0.0060695,           0.0033635,           0.0033635,            0.064164
                 131,            0.043865,            0.011854,            0.014576,             0.77101,               0.975,             0.91757,             0.41829,             0.03252,           0.0062847,           0.0058422,           0.0033811,           0.0033811,            0.063881
                 132,            0.039308,            0.012376,            0.011144,              0.7322,                   1,             0.76478,             0.40866,            0.026216,           0.0064114,           0.0059159,           0.0033985,           0.0033985,            0.063599
                 133,            0.046638,            0.011788,            0.012152,             0.64157,             0.79872,             0.82353,             0.38908,            0.028474,           0.0064918,           0.0058652,           0.0034158,           0.0034158,            0.063316
                 134,            0.047431,            0.012091,            0.011642,             0.99127,                0.95,             0.98351,             0.51981,            0.024392,           0.0064204,            0.005786,           0.0034328,           0.0034328,            0.063033
                 135,            0.049365,            0.013459,            0.012671,             0.86746,             0.87438,             0.96268,             0.30597,            0.026453,           0.0065459,             0.00571,           0.0034497,           0.0034497,             0.06275
                 136,            0.038825,            0.013387,            0.010246,             0.58084,               0.925,             0.83754,             0.37155,            0.027439,           0.0064825,           0.0061491,           0.0034664,           0.0034664,            0.062466
                 137,              0.0488,            0.013228,            0.012496,              0.5179,                   1,             0.70949,             0.31829,            0.025613,           0.0062028,            0.005548,           0.0034829,           0.0034829,            0.062183
                 138,            0.038739,            0.012666,            0.012472,             0.77519,                0.85,             0.91397,             0.49985,            0.022573,           0.0061668,           0.0067596,           0.0034993,           0.0034993,            0.061899
                 139,            0.038821,            0.012125,             0.01352,             0.46772,               0.875,             0.67431,             0.25059,            0.027465,           0.0063488,           0.0084444,           0.0035155,           0.0035155,            0.061615
                 140,            0.041293,            0.012312,            0.013119,             0.97573,             0.92939,             0.99381,             0.69333,            0.019939,           0.0062021,           0.0063876,           0.0035315,           0.0035315,            0.061331
                 141,            0.042677,            0.011446,           0.0093569,             0.88297,                 0.8,             0.85876,             0.31333,            0.033648,            0.006234,           0.0058468,           0.0035473,           0.0035473,            0.061047
                 142,            0.045679,            0.011182,            0.012227,              0.5552,                0.85,             0.74439,             0.46554,            0.027812,           0.0059213,           0.0055706,           0.0035629,           0.0035629,            0.060763
                 143,            0.054106,            0.012305,            0.011155,             0.56508,             0.94428,             0.73564,             0.11845,            0.032631,           0.0059622,           0.0056138,           0.0035784,           0.0035784,            0.060478
                 144,            0.047569,            0.014228,            0.012153,             0.89972,             0.99655,                0.92,             0.51017,            0.021332,           0.0059903,           0.0050903,           0.0035937,           0.0035937,            0.060194
                 145,            0.044979,            0.011827,            0.012883,             0.72601,             0.89221,              0.8363,             0.37211,            0.036209,           0.0058587,           0.0047647,           0.0036088,           0.0036088,            0.059909
                 146,             0.05014,            0.010931,            0.012758,             0.72806,             0.97713,             0.89792,             0.55454,            0.028099,           0.0060226,            0.004634,           0.0036237,           0.0036237,            0.059624
                 147,            0.046845,            0.012412,           0.0090339,             0.84613,             0.91807,             0.93918,             0.36964,            0.033802,           0.0059859,           0.0045986,           0.0036384,           0.0036384,            0.059338
                 148,            0.046917,            0.011791,            0.013628,             0.94786,             0.99976,               0.995,             0.59928,            0.017663,            0.006297,           0.0053163,            0.003653,            0.003653,            0.059053
                 149,            0.038686,            0.010799,            0.014941,             0.94546,              0.9491,             0.96365,             0.28341,            0.031543,           0.0059939,            0.004524,           0.0036674,           0.0036674,            0.058767
                 150,            0.040227,            0.011551,            0.010207,             0.98923,                   1,               0.995,              0.7521,            0.019726,           0.0058146,           0.0048174,           0.0036816,           0.0036816,            0.058482
                 151,            0.042198,            0.011369,            0.010278,             0.74235,                0.95,             0.91961,             0.47352,            0.030607,           0.0061853,           0.0055068,           0.0036956,           0.0036956,            0.058196
                 152,            0.043713,            0.011533,            0.011933,             0.76046,                   1,             0.98203,             0.66672,            0.020757,           0.0059289,           0.0046049,           0.0037094,           0.0037094,            0.057909
                 153,            0.042607,            0.013575,            0.007885,             0.59653,                0.95,             0.90144,              0.6427,            0.025418,           0.0057659,           0.0044452,            0.003723,            0.003723,            0.057623
                 154,            0.046839,            0.010597,             0.01014,             0.94324,               0.975,             0.98329,             0.72215,            0.020908,            0.005587,           0.0045519,           0.0037365,           0.0037365,            0.057336
                 155,            0.047518,            0.011712,            0.011022,             0.71175,               0.775,             0.81227,             0.25676,            0.030594,           0.0056842,           0.0045704,           0.0037497,           0.0037497,             0.05705
                 156,            0.047065,            0.011048,            0.010011,             0.73272,                   1,             0.82645,             0.51924,            0.019855,           0.0057472,           0.0049893,           0.0037628,           0.0037628,            0.056763
                 157,            0.041063,            0.011397,            0.010193,             0.98117,                   1,               0.995,             0.65476,            0.025059,           0.0055849,           0.0048621,           0.0037757,           0.0037757,            0.056476
                 158,            0.041975,            0.010174,           0.0092479,             0.96814,               0.975,             0.99055,             0.79817,            0.019231,           0.0056973,           0.0044958,           0.0037884,           0.0037884,            0.056188
